candidate_id,rank,score,reasoning
CAND_0081846,1,0.9137,"Rank 1: Lead AI Engineer at Razorpay (6.7 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Jaipur, Rajasthan, open to relocation. recruiter response rate 0.73, notice period 30d, last active 55d ago. Semantic JD match 0.99."
CAND_0018499,2,0.893,"Rank 2: Senior Machine Learning Engineer at Zomato (7.2 yrs exp, Food Delivery). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh, open to relocation. recruiter response rate 0.61, notice period 15d, last active 45d ago. Semantic JD match 0.87."
CAND_0002025,3,0.8699,"Rank 3: Senior AI Engineer at Apple (5.9 yrs exp, Consumer Electronics). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Trivandrum, Kerala. recruiter response rate 0.80, notice period 30d, last active 32d ago. Semantic JD match 0.93."
CAND_0046064,4,0.8564,"Rank 4: Senior NLP Engineer at Salesforce (8.9 yrs exp, Software). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu. recruiter response rate 0.78, notice period 30d, last active 62d ago. Semantic JD match 0.91."
CAND_0046525,5,0.8558,"Rank 5: Senior Machine Learning Engineer at Genpact AI (6.1 yrs exp, AI Services). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Pune, Maharashtra, open to relocation. recruiter response rate 0.88, notice period 60d, last active 35d ago. Semantic JD match 0.84."
CAND_0033861,6,0.8412,"Rank 6: Senior NLP Engineer at Mad Street Den (8.0 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Vizag, Andhra Pradesh. recruiter response rate 0.16, notice period 30d, last active 131d ago. Semantic JD match 0.90."
CAND_0011687,7,0.8097,"Rank 7: Senior NLP Engineer at Niramai (7.8 yrs exp, HealthTech AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Indore, Madhya Pradesh. recruiter response rate 0.89, notice period 15d, last active 48d ago. Semantic JD match 0.81."
CAND_0008425,8,0.808,"Rank 8: Senior NLP Engineer at Ola (7.8 yrs exp, Transportation). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Kolkata, West Bengal. recruiter response rate 0.66, notice period 90d, last active 63d ago. concerns: long notice period (90d). Semantic JD match 0.91."
CAND_0071974,9,0.7965,"Rank 9: Senior AI Engineer at Netflix (7.8 yrs exp, Media). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Vizag, Andhra Pradesh. recruiter response rate 0.76, notice period 45d, last active 72d ago. Semantic JD match 0.83."
CAND_0077337,10,0.7962,"Rank 10: Staff Machine Learning Engineer at Paytm (7.0 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Kochi, Kerala, open to relocation. recruiter response rate 0.95, notice period 60d, last active 32d ago. Semantic JD match 0.80."
